study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,key_resp.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\5.png,,,0,0,0,4,,,,,,,,,10.3380355,13.3540708,13.3540708,13.8504607,13.8611662,,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\3.png,,,0,1,1,2,,,,,,,,,,,18.8638791,19.3465491,19.3628781,24.3517501,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\8.png,,,0,2,2,7,,,,,,,,,,,24.3517501,24.8480385,24.8641256,29.8586884,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\9.png,,,0,3,3,8,,,,,,,,,,,29.8586884,30.3496412,30.3656825,,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\6.png,,,0,4,4,5,,,,,,,,,,,35.3599665,35.8342497,35.8671353,40.8436154,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\4.png,,,0,5,5,3,,,,,,,,,,,40.8436154,41.3356464,41.3521782,46.3473578,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\2.png,,,0,6,6,1,,,,,,,,,,,46.3473578,46.8370866,46.8536062,51.8515612,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\1.png,,,0,7,7,0,,,,,,,,,,,51.8515612,52.3386103,52.3550997,57.3490204,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
C:\Program Files\PsychoPy\soloproject\7.png,,,0,8,8,6,,,,,,,,,,,57.3490204,57.8401972,57.8564768,62.859999,,,,,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,586+76,,,,,,0,0,0,3,,,,,,,,,,,62.859999,62.859999,72.8600794,662,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,273-87,,,,,,0,1,1,5,,,,,,,,,,,77.8678122,77.8678122,87.8806536,186,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,637+94,,,,,,0,2,2,1,,,,,,,,,,,92.8714799,92.8714799,102.8845684,731,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,125-19,,,,,,0,3,3,0,,,,,,,,,,,107.8562073,107.8562073,117.8553165,106,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,113-49,,,,,,0,4,4,2,,,,,,,,,,,122.8567127,122.8567127,132.8592184,64,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,522+16,,,,,,0,5,5,4,,,,,,,,,,,137.8606611,137.8606611,147.8633081,538,,,,,,,,,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\13.png,,,,,,,,,0,0,0,3,,,,,,,,,,,152.8854477,153.3489992,153.3983792,156.3326182,156.3488451,n,0.283092,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\11.png,,,,,,,,,0,1,1,1,,,,,,,,,,,156.6460216,157.1332829,157.149471,160.1333576,160.1333576,y,0.4516176,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\25.png,,,,,,,,,0,2,2,15,,,,,,,,,,,160.6266534,161.1174221,161.1338234,164.1014127,164.1176604,n,0.2573542,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\19.png,,,,,,,,,0,3,3,9,,,,,,,,,,,164.4091202,164.8852331,164.9181829,167.8689344,167.8854062,n,0.3247606,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\16.png,,,,,,,,,0,4,4,6,,,,,,,,,,,168.2305284,168.7194349,168.7359283,171.7033452,171.7197513,y,0.4770645,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\14.png,,,,,,,,,0,5,5,4,,,,,,,,,,,172.2166137,172.7039971,172.7202234,175.6876213,175.7040281,y,0.4634552,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\18.png,,,,,,,,,0,6,6,8,,,,,,,,,,,176.1830216,176.6717665,176.6878656,179.6555829,179.6717702,n,0.5650296,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\12.png,,,,,,,,,0,7,7,2,,,,,,,,,,,180.2517424,180.7395016,180.7556674,183.7230246,183.7394411,y,0.3380168,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\10.png,,,,,,,,,0,8,8,0,,,,,,,,,,,184.1019951,184.5904613,184.6068302,187.5741583,187.5906747,y,0.4623422,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\27.png,,,,,,,,,0,9,9,17,,,,,,,,,,,188.0701455,188.5580898,188.5745598,191.5421415,191.5582902,n,0.4135515,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\23.png,,,,,,,,,0,10,10,13,,,,,,,,,,,191.9895266,192.4758906,192.4922048,195.4597589,195.4758586,n,0.442846,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\26.png,,,,,,,,,0,11,11,16,,,,,,,,,,,195.9358384,196.4267528,196.4433015,199.4105958,199.4269275,n,0.2850414,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\20.png,,,,,,,,,0,12,12,10,,,,,,,,,,,199.7400441,200.2279253,200.2441865,203.2116842,203.2282582,n,0.3090834,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\21.png,,,,,,,,,0,13,13,11,,,,,,,,,,,203.5571133,204.0456359,204.0620736,207.0292735,207.0456762,y,0.4819962,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\22.png,,,,,,,,,0,14,14,12,,,,,,,,,,,207.5415181,208.0298692,208.0463682,211.0138948,211.0300124,n,0.4069343,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\15.png,,,,,,,,,0,15,15,5,,,,,,,,,,,211.4590395,211.9477249,211.964098,214.9314106,214.9479568,y,0.3844067,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\17.png,,,,,,,,,0,16,16,7,,,,,,,,,,,215.3580677,215.848678,215.8651676,218.8489082,218.8489082,y,0.4384117,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
,,C:\Program Files\PsychoPy\soloproject\24.png,,,,,,,,,0,17,17,14,,,,,,,,,,,219.3313793,219.8163864,219.8326619,222.8002617,222.816535,n,0.3716231,None,SI,1,2023-11-28_23h40.17.004,labsolo,2023.1.3,60.05100733
